,ID,Occupation,Job.Series,School,Major,Level.of.Education,Gender,Race,Disability,Hired
118,118,General Physical Science,1301,147767,Geology,Some College,Male,White,NA,N
119,119,Industrial Hygiene,690,214777,Epidemiology,Bachelor's Degree,Male,White,NA,N
120,120,Telecommunications,391,221999,Communications,Some College,Female,White,targeted disability,Y
121,121,Transportation Specialist,2101,228246,Transportation,Associates Degree,Male,White,disability,N
122,122,Plant Physiology,435,230038,Botany,Some College,Male,Black/African American,targeted disability,N
123,123,Hospital Housekeeping Management,673,131469,Hospital Admin.,Associates Degree,Female,White,NA,N
124,124,Agricultural Commodity Grading,1980,212054,Agriculture,Master's/J.D./LL.B.,Female,White,NA,Y
125,125,Correctional Officer,7,196413,Corrections,Associates Degree,Female,White,targeted disability,N
126,126,Equal Opportunity Compliance,360,196103,Liberal Arts/Humanities,Bachelor's Degree,Female,Black/African American,targeted disability,N
127,127,Agronomy,471,166683,Agronomy,Master's/J.D./LL.B.,Female,Asian,disability,N
128,128,Economist,110,123961,Economics,Associates Degree,Male,White,disability,N
129,129,Realty,1170,165015,Community Or City Planning,Bachelor's Degree,Male,White,NA,N
130,130,Botany,430,194824,Botany,Some College,Female,White,NA,N
131,131,Distribution Facilities and Storage Management,2030,214777,"Management, Facilities",Some College,Female,Black/African American,targeted disability,N
132,132,Budget Analysis,560,152080,Business,Bachelor's Degree,Male,Hispanic/Latino,targeted disability,N
133,133,Agricultural Market Reporting,1147,165015,Journalism,Associates Degree,Male,White,disability,N
134,134,Auditing,511,214777,Accounting,Associates Degree,Female,Hispanic/Latino,NA,N
135,135,Architecture,808,131496,Architecture,Bachelor's Degree,Male,Asian,NA,N
136,136,Wildlife Refuge Management,485,196413,Meteorology,Bachelor's Degree,Male,White,NA,Y
137,137,Mathematical Statistician,1529,198419,Mathematics,Some College,Female,Asian,disability,N
138,138,Environmental Protection Specialist,28,196097,Any Major,Master's/J.D./LL.B.,Female,Black/African American,NA,N
139,139,Education Program,1720,165015,Education,Associates Degree,Female,Black/African American,NA,N
140,140,Geophysics,1313,110662,Geophysics,Some College,Male,White,targeted disability,Y
141,141,Internal Revenue Officer,1169,127060,Any Major,Bachelor's Degree,Male,Asian,NA,N
142,142,Dietitian and Nutritionist,630,215293,Food Technology And Safety,Associates Degree,Male,White,disability,N
143,143,Land Surveying,1373,243744,Surveying,Associates Degree,Female,White,NA,N
144,144,Medical Records Administration,669,243744,Library Science,Some College,Female,Black/African American,disability,N
145,145,Communications Clerical,394,186131,Communications,Bachelor's Degree,Female,White,disability,N
146,146,Miscellaneous Clerk and Assistant,303,110635,Business,Associates Degree,Male,Hispanic/Latino,disability,N
147,147,Air Navigation,2183,134097,Aviation,Associates Degree,Male,Asian,NA,N
148,148,Chemical Engineering,893,223232,Chemistry,Bachelor's Degree,Male,Black/African American,NA,N
149,149,Construction Analyst,828,204024,Architecture,Some College,Female,White,NA,N
150,150,Museum Curator,1015,147767,Anthropology,Associates Degree,Male,Black/African American,targeted disability,N
151,151,Nurse,610,144050,Nursing,Bachelor's Degree,Female,White,targeted disability,N
152,152,Accounting,510,204024,Accounting,Associates Degree,Female,White,NA,N
153,153,Miscellaneous Administration and Program,301,166027,Public Admin.,Associates Degree,Female,Black/African American,NA,N
154,154,Industrial Hygiene,690,131496,Epidemiology,PhD,Female,White,NA,N
155,155,Foreign Agricultural Affairs,135,197708,Foreign Language,Associates Degree,Male,Hispanic/Latino,NA,N
156,156,Visual Information,1084,144050,"Arts, Fine And Applied",Bachelor's Degree,Female,Black/African American,targeted disability,N
157,157,Traffic Management,2130,170976,Transportation,Associates Degree,Male,American Indian/Alaskan Native,NA,N
158,158,Dietitian and Nutritionist,630,186131,Food Technology And Safety,Some College,Female,Black/African American,NA,N
159,159,Editorial Assistance,1087,178396,English And Literature,Bachelor's Degree,Female,White,disability,Y
160,160,Air Traffic Control,2152,178396,Any Major,Bachelor's Degree,Male,White,disability,Y
161,161,Genetics,440,223232,Botany,Some College,Male,Black/African American,NA,Y
162,162,Bond Sales Promotion,11,212054,Marketing,PhD,Male,White,targeted disability,N
163,163,Naval Architecture,871,233921,Architecture,Bachelor's Degree,Male,White,NA,N
164,164,Medical Records Administration,669,170976,Library Science,Some College,Female,White,NA,N
165,165,Pharmacology,405,131469,Pharmacy,Bachelor's Degree,Male,White,NA,N
166,166,Social Science,101,204024,Political Science/Govt,Bachelor's Degree,Female,Black/African American,disability,N
167,167,Librarian,1410,215293,Library Science,Bachelor's Degree,Female,White,NA,N
168,168,Government Accountability Office Evaluator,347,198419,Biology,Bachelor's Degree,Male,White,NA,N
169,169,Agricultural Market Reporting,1147,100751,Journalism,Associates Degree,Male,White,NA,N
170,170,Health Physics,1306,191241,Chemistry,Some College,Male,White,disability,N
171,171,Forestry Technician,462,212054,Botany,Bachelor's Degree,Female,White,disability,N
172,172,Education Services,1740,165015,Liberal Arts/Humanities,Associates Degree,Male,White,NA,N
173,173,Sociology,184,126775,Sociology,Some College,Male,White,NA,Y
174,174,Occupational Therapist,631,170976,Rehabilitation Therapy,Associates Degree,Male,White,NA,Y
175,175,Training Instruction,1712,198419,Education,Some College,Male,American Indian/Alaskan Native,NA,N
176,176,Commissary Store Management,1144,243780,Business,Associates Degree,Male,Hispanic/Latino,targeted disability,N
177,177,Air Traffic Control,2152,196103,Any Major,Master's/J.D./LL.B.,Female,White,NA,N
178,178,Soil Conservation,457,144050,Agriculture,Bachelor's Degree,Male,Black/African American,NA,N
179,179,Management and Program Analysis,343,110404,Any Major,PhD,Male,Hispanic/Latino,NA,N
180,180,Miscellaneous Administration and Program,301,190150,Public Admin.,Bachelor's Degree,Male,White,NA,N
181,181,Corrective Therapist,635,191241,Physical Education,Some College,Female,White,NA,N
182,182,Nuclear Medicine Technician,642,223232,Medical Support,Associates Degree,Male,Asian,NA,N
183,183,Logistics Management,346,134097,Any Major,Master's/J.D./LL.B.,Male,White,NA,Y
184,184,Park Ranger,25,196103,Park And Recreation Management,Master's/J.D./LL.B.,Female,Hispanic/Latino,targeted disability,N
185,185,Consumer Safety,696,131496,Chemistry,Associates Degree,Male,Black/African American,targeted disability,N
186,186,Mechanical Engineering,830,199120,Engineering (Any Specialty),Master's/J.D./LL.B.,Female,Black/African American,NA,N
187,187,Correctional Officer,7,231174,Corrections,Associates Degree,Female,Black/African American,NA,Y
188,188,Technical Information Services,1412,214777,Library Science,Associates Degree,Male,White,NA,N
189,189,Intelligence,132,127060,Accounting,Bachelor's Degree,Male,Black/African American,NA,Y
190,190,Manpower Development,142,197708,Management,Master's/J.D./LL.B.,Male,White,targeted disability,N
191,191,Geodesy,1372,162928,Astronomy,Associates Degree,Female,Hispanic/Latino,NA,N
192,192,Agronomy,471,170976,Agronomy,Associates Degree,Male,White,disability,N
193,193,Diagnostic Radiologic Technologist,647,110680,Medical Support,Master's/J.D./LL.B.,Male,White,disability,N
194,194,Management and Program Analysis,343,110404,Any Major,Associates Degree,Male,White,NA,N
195,195,Industrial Property Management,1103,215062,Industrial Management,Master's/J.D./LL.B.,Male,White,disability,N
196,196,Sociology,184,131469,Sociology,Associates Degree,Male,White,NA,N
197,197,Internal Revenue Officer,1169,223232,Any Major,Bachelor's Degree,Male,White,NA,N
198,198,Unemployment Insurance,106,166027,Insurance,Master's/J.D./LL.B.,Male,Black/African American,targeted disability,N
199,199,Police,83,198419,Criminal Justice/Law Enforcement,Associates Degree,Male,White,NA,N
200,200,Forestry,460,164988,Forestry,Associates Degree,Female,White,NA,N
201,201,Police,83,198419,Criminal Justice/Law Enforcement,Associates Degree,Male,Hispanic/Latino,disability,N
202,202,Geography,150,230038,Geography,Master's/J.D./LL.B.,Female,White,targeted disability,N
203,203,Aviation Safety,1825,236948,Aviation,Bachelor's Degree,Male,White,targeted disability,N
204,204,Education Services,1740,144050,Liberal Arts/Humanities,Some College,Male,White,targeted disability,N
205,205,Supply Program Management,2003,213543,Any Major,Master's/J.D./LL.B.,Male,White,NA,N
206,206,Statistician,1530,162928,Mathematics,Some College,Female,White,disability,N
207,207,Archivist,1420,191241,History,Master's/J.D./LL.B.,Female,White,disability,Y
208,208,Land Surveying,1373,212054,Surveying,Associates Degree,Female,White,targeted disability,N
209,209,Correctional Institution Administration,6,123961,Corrections,Associates Degree,Male,White,NA,N
210,210,Business and Industry,NA,186131,Industrial Management,Bachelor's Degree,Female,White,disability,N
211,211,Insurance Examining,1163,243780,Insurance,Bachelor's Degree,Male,White,disability,N
212,212,Environmental Protection Assistant,29,144050,Environmental Studies,Associates Degree,Female,Black/African American,disability,Y
213,213,Agricultural Market Reporting,1147,110662,Journalism,Some College,Female,Black/African American,disability,N
214,214,Administrative Officer,341,139755,Any Major,Bachelor's Degree,Male,Black/African American,NA,N
215,215,Museum Curator,1015,110404,Anthropology,Some College,Female,White,targeted disability,N
216,216,Immigration Inspection,1816,110644,Law Enforcement,Some College,Male,White,disability,Y
217,217,Education and Vocational Training,1710,162928,Counseling,Associates Degree,Male,White,disability,N
218,218,Art Specialist,1056,131496,"Arts, Fine And Applied",Some College,Female,White,NA,N
219,219,Industrial Hygiene,690,221999,Epidemiology,Some College,Male,White,NA,N
220,220,Miscellaneous Administration and Program,301,131496,Public Admin.,Some College,Female,Black/African American,disability,N
221,221,Wildlife Refuge Management,485,214777,Meteorology,Bachelor's Degree,Female,Black/African American,NA,N
222,222,Industrial Specialist,1150,131469,Industrial Management,Master's/J.D./LL.B.,Male,Black/African American,NA,N
223,223,Social Work,185,110662,Social Work,Associates Degree,Male,White,NA,N
224,224,Transportation Operations,2150,212054,Transportation,Some College,Male,White,NA,N
225,225,Housing Management,1173,223232,"Management, Facilities",Master's/J.D./LL.B.,Female,White,NA,N
226,226,Computer Science,1550,212054,Mathematics,Some College,Female,White,NA,N
227,227,Agricultural Program Specialist,1145,171100,Agriculture,Associates Degree,Male,Hispanic/Latino,targeted disability,N
228,228,Chemical Engineering,893,110653,Chemistry,Master's/J.D./LL.B.,Female,Black/African American,NA,N
229,229,Foreign Affairs,130,152080,Foreign Language,Associates Degree,Male,White,NA,N
230,230,Civil Engineering,810,191241,Engineering (Any Specialty),Bachelor's Degree,Female,Black/African American,NA,N
231,231,Geology,1350,165015,Geology,Associates Degree,Male,White,NA,N
232,232,Editorial Assistance,1087,135726,English And Literature,Bachelor's Degree,Male,Asian,targeted disability,N
233,233,Apprenticeship and Training,243,230038,Human Resource Mgt.,Master's/J.D./LL.B.,Female,Hispanic/Latino,NA,N
234,234,General Biological Science,401,170976,Horticulture,Associates Degree,Female,White,NA,N
235,235,Vocational Rehabilitation,1715,110653,Counseling,Associates Degree,Male,Asian,NA,N
236,236,Editorial Assistance,1087,214777,English And Literature,Associates Degree,Female,Black/African American,disability,N
237,237,Hospital Housekeeping Management,673,215293,Hospital Admin.,Bachelor's Degree,Female,White,NA,N
238,238,Telecommunications,391,131496,Communications,Some College,Female,White,NA,N
239,239,Telecommunications,391,243780,Communications,Bachelor's Degree,Male,White,NA,N
240,240,Miscellaneous Administration and Program,301,110653,Public Admin.,Associates Degree,Male,White,NA,N
241,241,Management and Program Analysis,343,130794,Any Major,Some College,Male,White,NA,N
242,242,Property Disposal,1104,110662,Marketing,Associates Degree,Female,White,NA,N
243,243,Education Program,1720,182670,Education,Associates Degree,Male,Asian,targeted disability,N
244,244,Government Accountability Office Evaluator,347,230038,Biology,Master's/J.D./LL.B.,Female,Black/African American,disability,N
245,245,Foreign Affairs,130,162928,Foreign Language,Associates Degree,Male,White,disability,N
246,246,General Biological Science,401,196413,Horticulture,Master's/J.D./LL.B.,Female,Hispanic/Latino,NA,N
247,247,Legal Instruments Examining,963,190150,Law,Bachelor's Degree,Female,White,targeted disability,N
248,248,Agricultural Market Reporting,1147,186131,Journalism,Associates Degree,Male,Asian,NA,N
249,249,Construction Control,809,123961,Architecture,Some College,Male,White,disability,N
250,250,Agricultural Program Specialist,1145,190150,Agriculture,Bachelor's Degree,Female,Black/African American,NA,N
251,251,Dietitian and Nutritionist,630,152080,Food Technology And Safety,Some College,Male,White,NA,N
252,252,Logistics Management,346,144050,Any Major,Associates Degree,Male,White,NA,N
253,253,Foreign Agricultural Affairs,135,171100,Foreign Language,Bachelor's Degree,Female,American Indian/Alaskan Native,NA,N
254,254,Forestry Technician,462,170976,Botany,Master's/J.D./LL.B.,Female,White,NA,N
255,255,Chemistry,1320,199120,Chemistry,Bachelor's Degree,Female,Hispanic/Latino,NA,N
256,256,Facility Management,1640,166027,"Management, Facilities",Bachelor's Degree,Male,White,disability,N
257,257,General Engineering,801,131469,Engineering (Any Specialty),Associates Degree,Male,Black/African American,NA,N
258,258,Forestry Technician,462,166027,Botany,Master's/J.D./LL.B.,Female,Black/African American,NA,N
259,259,Veterans Claims Examining,996,123961,Liberal Arts/Humanities,Bachelor's Degree,Male,White,NA,N
260,260,Community Planning,20,170976,Community Or City Planning,Bachelor's Degree,Male,Black/African American,NA,N
261,261,Hearings and Appeals,930,196103,Employee/Labor Relations,Associates Degree,Female,White,NA,Y
262,262,Mechanical Engineering,830,144050,Engineering (Any Specialty),PhD,Male,White,disability,N
263,263,Immigration Inspection,1816,110662,Law Enforcement,Some College,Female,White,NA,N
264,264,Outdoor Recreation Planning,23,198419,Park And Recreation Management,Associates Degree,Female,White,NA,N
265,265,General Attorney,905,165015,Law,Master's/J.D./LL.B.,Male,More than one race,disability,N
266,266,Entomology,414,243744,Biology,Master's/J.D./LL.B.,Male,White,disability,N
267,267,Land Surveying,1373,190150,Surveying,Associates Degree,Male,Black/African American,NA,N
268,268,Electronics Engineering,855,199193,Engineering (Any Specialty),Associates Degree,Male,White,NA,N
269,269,Agricultural Program Specialist,1145,204024,Agriculture,Some College,Female,White,NA,N
270,270,Computer Science,1550,195030,Mathematics,Bachelor's Degree,Female,Hispanic/Latino,NA,N
271,271,Education Services,1740,195030,Liberal Arts/Humanities,Some College,Male,White,NA,N
272,272,Contracting,1102,166683,Any Major,Associates Degree,Male,White,NA,N
273,273,Geodetic Technician,1374,194824,Cartography,Bachelor's Degree,Male,White,NA,N
274,274,Management and Program Analysis,343,198419,Any Major,Associates Degree,Male,White,disability,N
275,275,Securities Compliance Examining,1831,171100,Finance,Some College,Male,White,targeted disability,N
276,276,Financial Management,505,131469,Accounting,Some College,Male,Black/African American,NA,N
277,277,Outdoor Recreation Planning,23,131469,Park And Recreation Management,Bachelor's Degree,Female,Black/African American,NA,N
278,278,Park Ranger,25,166027,Park And Recreation Management,Bachelor's Degree,Male,White,disability,N
279,279,Agricultural Marketing,1146,110644,Marketing,Associates Degree,Male,White,NA,Y
280,280,Contact Representative,962,123961,Liberal Arts/Humanities,Some College,Male,More than one race,NA,N
281,281,Horticulture,437,228778,Botany,Bachelor's Degree,Female,Black/African American,NA,N
282,282,Quality Assurance,1910,151351,Business,Associates Degree,Female,White,NA,N
283,283,Electronics Technician,856,215062,Electronics Technology,Master's/J.D./LL.B.,Male,Hispanic/Latino,targeted disability,N
284,284,Geodetic Technician,1374,214777,Cartography,Some College,Male,White,NA,N
285,285,General Health Science,601,122436,Epidemiology,Associates Degree,Female,White,NA,N
286,286,Government Accountability Office Evaluator,347,231174,Biology,Bachelor's Degree,Female,White,NA,N
287,287,Meteorology,1340,131469,Meteorology,Bachelor's Degree,Male,White,disability,N
288,288,Import Specialist,1889,231174,Business,Some College,Female,White,NA,N
289,289,Outdoor Recreation Planning,23,186131,Park And Recreation Management,Some College,Male,White,NA,N
290,290,Mediation,241,139658,Employee/Labor Relations,Associates Degree,Female,White,NA,N
291,291,Loan Specialist,1165,186131,Economics,Associates Degree,Female,White,NA,N
292,292,Social Science Aide and Technician,102,236948,Social Work,Bachelor's Degree,Female,Black/African American,targeted disability,N
293,293,Entomology,414,165015,Biology,Associates Degree,Female,Black/African American,NA,N
294,294,Electronics Technician,856,122436,Electronics Technology,Some College,Male,White,disability,N
295,295,Recreation/Creative Arts Therapist,638,131469,Park And Recreation Management,Some College,Male,Asian,NA,N
296,296,Education Program,1720,110644,Education,PhD,Male,Hispanic/Latino,disability,N
297,297,Editorial Assistance,1087,221999,English And Literature,Master's/J.D./LL.B.,Female,White,NA,N
298,298,Chaplain,60,214777,Counseling,Bachelor's Degree,Male,More than one race,NA,N
299,299,Economist,110,122436,Economics,Associates Degree,Male,White,NA,Y
300,300,Public Health Program Specialist,685,123961,Health,Bachelor's Degree,Female,Asian,NA,N
301,301,Logistics Management,346,243780,Any Major,Associates Degree,Female,White,targeted disability,N
302,302,Wildlife Refuge Management,485,130794,Meteorology,Bachelor's Degree,Male,Hispanic/Latino,NA,N
303,303,Writing and Editing,1082,223232,Communications,Associates Degree,Female,Black/African American,targeted disability,N
304,304,Social Science,101,166629,Political Science/Govt,Bachelor's Degree,Male,Black/African American,NA,N
305,305,Public Utilities Specialist,1130,228778,Public Admin.,Master's/J.D./LL.B.,Female,White,disability,N
306,306,Operations Research,1515,166683,Mathematics,Bachelor's Degree,Female,Black/African American,disability,N
307,307,Outdoor Recreation Planning,23,123961,Park And Recreation Management,Bachelor's Degree,Male,White,NA,N
308,308,Administrative Officer,341,110653,Any Major,Associates Degree,Male,White,NA,N
309,309,Recreation Aide and Assistant,189,221999,Physical Education,Master's/J.D./LL.B.,Female,White,targeted disability,N
310,310,Housing Management,1173,100751,"Management, Facilities",Bachelor's Degree,Female,White,NA,N
